,no_neurons,electrode,correlation_coeff,inh_type,exc_type
292,10,16,-0.001070311082645136,RS,FS
293,10,17,-0.015195502705453149,RS,FS
294,10,18,0.0043528151402753065,RS,FS
295,10,19,-0.026651192154625445,RS,FS
296,10,20,-0.010238539392084014,RS,FS
297,10,21,0.008092837248626946,RS,FS
298,10,22,0.022600630250131617,RS,FS
299,100,0,-0.031011430036345287,RS,FS
300,100,1,-0.03385335652124539,RS,FS
301,100,2,-0.028576524667451395,RS,FS
302,100,3,-0.025624028691688165,RS,FS
303,100,4,-0.0097719650960255,RS,FS
304,100,5,-0.01881788453123648,RS,FS
305,100,6,-0.032954747205400765,RS,FS
306,100,7,-0.046466033487619365,RS,FS
307,100,8,0.0008667685997796303,RS,FS
308,100,9,-0.03873521605940624,RS,FS
309,100,10,-0.02158271868622104,RS,FS
310,100,11,0.016982329787619335,RS,FS
311,100,12,0.003357320116145631,RS,FS
312,100,13,-0.01829850641246173,RS,FS
313,100,14,-0.011180408217660079,RS,FS
314,100,15,-0.006391745110729325,RS,FS
315,100,16,-0.003270304569133318,RS,FS
316,100,17,-0.0077564705518251105,RS,FS
317,100,18,0.009219398223858371,RS,FS
318,100,19,-0.0224445769108417,RS,FS
319,100,20,-0.024123543020307385,RS,FS
320,100,21,-0.004194542166392607,RS,FS
321,100,22,0.01940173403988534,RS,FS
322,1000,0,0.013158866346972348,RS,FS
323,1000,1,-0.041905333393556364,RS,FS
324,1000,2,-0.03237601711753917,RS,FS
325,1000,3,-0.028903963997629598,RS,FS
326,1000,4,-0.014763778391004295,RS,FS
327,1000,5,-0.06076023170616366,RS,FS
328,1000,6,-0.03864949817337762,RS,FS
329,1000,7,-0.0598862879150473,RS,FS
330,1000,8,-0.011823325000452793,RS,FS
331,1000,9,-0.055984383482250315,RS,FS
332,1000,10,-0.035967594132553855,RS,FS
333,1000,11,0.02917175517905531,RS,FS
334,1000,12,-0.007285202571326174,RS,FS
335,1000,13,-0.01541495518296703,RS,FS
336,1000,14,-0.017192870917405526,RS,FS
337,1000,15,-0.013057184684137772,RS,FS
338,1000,16,-0.009549243316678847,RS,FS
339,1000,17,-0.01124568584006483,RS,FS
340,1000,18,0.01015900407970022,RS,FS
341,1000,19,-0.02101841280785778,RS,FS
342,1000,20,-0.051943544704194614,RS,FS
343,1000,21,-0.022508350961022435,RS,FS
344,1000,22,0.015537727145140708,RS,FS
345,10,0,-0.0644119340416819,RS,LTS
346,10,1,-0.039366002725444264,RS,LTS
